Vendedor;Comprador;Data da Venda;Nome do Produto;Mês;Valor Unitário;Valor Total;Quantidade;Loja;Município da Loja;Categoria do Produto
Sr. Pietro Moraes;Srta. Amanda Pinto;13/11/2024;Areia Higiênica;November;19,79;138,53;7;Super Econômico;Tangará da Serra;Pet
Bárbara Ribeiro;Bernardo Cardoso;15/03/2025;Petisco;March;16,66;33,32;2;Mercado do Bairro;Várzea Grande;Pet
Isabel Melo;Ana Sophia Viana;09/09/2024;Óleo;September;29,09;174,54;6;Atacadão Popular;Cuiabá;Alimentos
Dr. Vitor Gabriel Almeida;Eduardo Peixoto;31/10/2024;Areia Higiênica;October;45,1;360,8;8;Super Econômico;Tangará da Serra;Pet
Vitória Martins;Bianca Duarte;25/07/2024;Feijão;July;6,12;55,08;9;Atacadão Popular;Cuiabá;Alimentos
Bárbara Ribeiro;Clarice da Mata;27/05/2024;Água Sanitária;May;14,99;104,93;7;Super Econômico;Cuiabá;Limpeza
Davi Luiz Silveira;Julia Viana;10/09/2024;Ração para Cães;September;2,62;2,62;1;Mercado do Bairro;Tangará da Serra;Pet
Juliana Nunes;Evelyn Azevedo;23/06/2024;Macarrão;June;42,79;342,32;8;Atacadão Popular;Rondonópolis;Alimentos
Ana Clara Barros;Sra. Mariana Nunes;06/04/2025;Água Sanitária;April;15,98;63,92;4;Mercado do Bairro;Cuiabá;Limpeza
Luna das Neves;Ana Laura Ramos;07/07/2024;Ração para Gatos;July;44,11;176,44;4;Super Econômico;Várzea Grande;Pet
Milena Pires;Laura Novaes;05/05/2024;Creme Dental;May;30,58;214,06;7;Super Econômico;Tangará da Serra;Higiene
Ryan Azevedo;Bianca Duarte;23/07/2024;Petisco;July;47,08;235,4;5;Mercado do Bairro;Várzea Grande;Pet
João Lucas Correia;Nina Costa;14/03/2025;Areia Higiênica;March;5,45;49,05;9;Supermercado Central;Tangará da Serra;Pet
Sr. Pietro Moraes;Sra. Catarina Almeida;09/07/2024;Feijão;July;35,01;245,07;7;Super Econômico;Várzea Grande;Alimentos
Elisa Alves;Evelyn Azevedo;08/03/2025;Ração para Gatos;March;16,03;16,03;1;Atacadão Popular;Várzea Grande;Pet
Vitória Martins;Srta. Mariane Moraes;22/10/2024;Areia Higiênica;October;39,35;78,7;2;Supermercado Central;Tangará da Serra;Pet
Ana Laura Pereira;Laura Novaes;25/03/2025;Shampoo;March;42,39;254,34;6;Super Econômico;Várzea Grande;Higiene
Dra. Clara da Paz;Fernanda Aragão;01/11/2024;Água Sanitária;November;48,36;338,52;7;Mercado do Bairro;Cuiabá;Limpeza
Dra. Clara da Paz;Paulo Martins;18/10/2024;Petisco;October;24,23;242,3;10;Supermercado Central;Cuiabá;Pet
Milena Pires;Sr. Thomas Porto;27/08/2024;Sabão em Pó;August;4,09;20,45;5;Atacadão Popular;Várzea Grande;Limpeza
Ryan Azevedo;Raul Correia;11/02/2025;Arroz;February;26,71;213,68;8;Mercado do Bairro;Tangará da Serra;Alimentos
Giovanna Alves;Theo Rezende;07/04/2025;Macarrão;April;37,84;227,04;6;Atacadão Popular;Sinop;Alimentos
Giovanna Alves;Luiz Felipe Freitas;03/10/2024;Suco;October;45,99;459,9;10;Super Econômico;Várzea Grande;Bebidas
Dra. Lívia Gonçalves;Bianca Duarte;26/11/2024;Shampoo Pet;November;12,83;102,64;8;Supermercado Central;Sinop;Pet
Vitória Martins;Gabrielly Correia;01/05/2024;Óleo;May;9,62;28,86;3;Atacadão Popular;Sinop;Alimentos
Davi Luiz Silveira;Otávio Nunes;19/05/2024;Açúcar;May;27,96;111,84;4;Atacadão Popular;Tangará da Serra;Alimentos
Vitória Martins;Manuela Lima;19/07/2024;Creme Dental;July;49,29;492,9;10;Atacadão Popular;Várzea Grande;Higiene
Rafaela Cunha;Davi Luiz Gonçalves;07/05/2024;Macarrão;May;40,74;325,92;8;Supermercado Central;Tangará da Serra;Alimentos
Ryan Azevedo;Pedro Henrique Ramos;03/04/2025;Papel Higiênico;April;17,88;125,16;7;Super Econômico;Sinop;Higiene
Sr. Pietro Moraes;Sr. Gustavo Mendes;01/09/2024;Arroz;September;37,76;302,08;8;Supermercado Central;Tangará da Serra;Alimentos
Luna das Neves;Enzo Farias;16/08/2024;Suco;August;3,11;12,44;4;Super Econômico;Sinop;Bebidas
João Vitor Moura;Leonardo Moreira;11/03/2025;Açúcar;March;19,9;59,7;3;Mercado do Bairro;Várzea Grande;Alimentos
Elisa Alves;Laura Novaes;17/02/2025;Ração para Cães;February;28,14;28,14;1;Atacadão Popular;Tangará da Serra;Pet
Vitória Martins;João Rocha;14/12/2024;Feijão;December;2,81;11,24;4;Supermercado Central;Rondonópolis;Alimentos
Ana Clara Barros;Luiza Dias;30/05/2024;Sabão em Pó;May;49,66;347,62;7;Mercado do Bairro;Rondonópolis;Limpeza
Milena Pires;Rafaela Ramos;14/10/2024;Arroz;October;10,01;100,1;10;Mercado do Bairro;Rondonópolis;Alimentos
Ana Clara Barros;Paulo Martins;20/04/2025;Vinho;April;20,4;183,6;9;Atacadão Popular;Várzea Grande;Bebidas
Ana Clara Barros;Pietra da Rocha;02/03/2025;Sabonete;March;32,87;32,87;1;Super Econômico;Rondonópolis;Higiene
Rafaela Cunha;Evelyn Azevedo;28/03/2025;Sabonete;March;5,03;5,03;1;Super Econômico;Rondonópolis;Higiene
Bárbara Ribeiro;André Freitas;24/10/2024;Detergente;October;46,8;93,6;2;Mercado do Bairro;Várzea Grande;Limpeza
Samuel Nascimento;Joana Campos;08/02/2025;Refrigerante;February;25,16;201,28;8;Atacadão Popular;Rondonópolis;Bebidas
João Vitor Moura;Luiz Gustavo Nascimento;01/12/2024;Ração para Gatos;December;42,43;254,58;6;Mercado do Bairro;Rondonópolis;Pet
Davi Luiz Silveira;João Rocha;19/03/2025;Esponja;March;13,91;83,46;6;Supermercado Central;Sinop;Limpeza
Dr. Vitor Gabriel Almeida;Vitor Hugo Barbosa;04/11/2024;Creme Dental;November;4,03;12,09;3;Mercado do Bairro;Sinop;Higiene
Ana Clara Barros;Felipe Cardoso;16/04/2025;Petisco;April;27,34;136,7;5;Supermercado Central;Rondonópolis;Pet
Milena Pires;Luiz Felipe Oliveira;29/01/2025;Sabão em Pó;January;6,46;51,68;8;Supermercado Central;Várzea Grande;Limpeza
João Lucas Correia;Stephany Costela;28/10/2024;Desodorante;October;13,03;117,27;9;Supermercado Central;Rondonópolis;Higiene
Bárbara Ribeiro;Felipe Cardoso;20/01/2025;Detergente;January;4,19;16,76;4;Super Econômico;Várzea Grande;Limpeza
Elisa Alves;Dra. Melissa Almeida;16/10/2024;Óleo;October;9,51;19,02;2;Mercado do Bairro;Cuiabá;Alimentos
Dra. Lívia Gonçalves;Nina Almeida;06/11/2024;Detergente;November;4,89;29,34;6;Atacadão Popular;Rondonópolis;Limpeza
João Lucas Correia;Igor Gonçalves;18/10/2024;Areia Higiênica;October;33,66;168,3;5;Mercado do Bairro;Várzea Grande;Pet
Elisa Alves;Fernanda Aragão;22/06/2024;Areia Higiênica;June;21,65;194,85;9;Super Econômico;Sinop;Pet
